ANT1,20.44,0.56,0.00,2450AT18B100E_2450AT18B100E,2450AT18B100E_ANTC3216X140N
C1,14.14,3.04,0.00,12pF,NORDIC_NRF_3_RESC0201_L
C1-EP-DR,-7.97,3.37,0.00,10uF,PERFECT_0402_0402
C10,6.06,2.29,0.00,N.C.,NORDIC_NRF_3_RESC0201_L
C11,13.74,0.24,0.00,100pF,NORDIC_NRF_3_RESC0201_L
C12,9.72,2.84,270.00,100nF,NORDIC_NRF_3_RESC0201_L
C13,8.78,2.29,90.00,N.C.,NORDIC_NRF_3_RESC0201_L
C14,3.85,2.25,90.00,4.7uF,PERFECT_0402_0402
C15,7.04,3.25,0.00,1.0uF,PERFECT_0402_0402
C16,7.74,2.04,0.00,47nF,NORDIC_NRF_3_RESC0201_L
C17,1.09,1.64,0.00,12pF,NORDIC_NRF_3_RESC0201_L
C18,1.04,-3.46,0.00,12pF,NORDIC_NRF_3_RESC0201_L
C19,-16.26,-10.86,0.00,100nF,NORDIC_NRF_3_RESC0201_L
C2,8.69,3.74,89.50,12pF,NORDIC_NRF_3_RESC0201_L
C2-EP-DR,-2.12,-7.23,0.00,4.7uF/25V,PERFECT_0402_0402
C20,6.43,-7.15,272.40,4.7uF,PERFECT_0402_0402
C21,4.72,-6.65,271.70,4.7uF,PERFECT_0402_0402
C22,12.00,0.29,90.00,N.C.,NORDIC_NRF_3_RESC0201_L
C23,-6.77,16.51,269.10,0.1uF,GRM011R60J152KE01L_1_0201
C24,-13.57,15.11,180.00,10uF,PERFECT_0402_0402
C25,-14.21,13.61,180.00,22uF,PERFECT_0402_0402
C27,-7.55,8.66,90.00,0.1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C29,11.75,-11.80,270.50,1uF,NORDIC_NRF_3_RESC0402_L
C3,11.34,-2.01,180.00,1pF,NORDIC_NRF_3_RESC0201_L
C30,-16.73,-12.81,90.20,1uF,NORDIC_NRF_3_RESC0402_L
C31,-0.11,-11.51,90.00,1uF,NORDIC_NRF_3_RESC0402_L
C32,17.01,-7.11,0.00,1uF,NORDIC_NRF_3_RESC0402_L
C33,-15.12,11.55,180.00,22uF,PERFECT_0402_0402
C34,17.11,-12.24,179.60,0.1uF,GRM011R60J152KE01L_2_CAPC0201X13N
